Input Sentences,Output Sentences
कई जगह बैरिकेडिंग कर ड्यूटी लागई गई है फोर्स की,कई जगह बैरिकेडिंग कर ड्यूटी लगाई गई है फोर्स की
इसे धारण करने के फायदे :,इसे धारण करने के फायदे :
ज्ञान पर घमंड करने वालों को नहीं मिलती सफलता,ज्ञान पर घमंड करने वालों को नहीं मिलती सफलता
मोदी और ममता की मुलाकात से है कांग्रेस,मोदी और ममता की मुलाकात से बेचैन है कांग्रेस
भाजपा स्कूल को भेंट किया सैनिटाइजर स्टैंड,भाजपा ने स्कूल को भेंट किया सैनिटाइजर स्टैंड
सावधान! एंटीबायोटिक लेने से पहले जरूर पढ़ें खबर ये,सावधान! एंटीबायोटिक लेने से पहले जरूर पढ़ें ये खबर
"खाई में गिरी कार, लोहड़ी मनाने घर आ जवान की सड़क हादसे में मौत","खाई में गिरी कार, लोहड़ी मनाने घर आए जवान की सड़क हादसे में मौत"
क्या थी मुख्तार अंसारी को मारने प्लानिंग,क्या थी मुख्तार अंसारी को मारने प्लानिंग
पुलिस बल नहींमिलने से रेलवे स्टेशन पर नहीं हो पाई जांच,पुलिस बल नहीं मिलने से रेलवे स्टेशन पर नहीं हो पाई जांच
शोएब अख्तर और मोहम् मद आसिफ-,शोएब अख्तर और मोहम्मद आसिफ-
सीएम योगी आदित्यनथा के साथ उनके मंत्रियों ने भी संगम में डुबकी लगाई।,सीएम योगी आदित्यनाथ के साथ उनके मंत्रियों ने भी संगम में डुबकी लगाई।
सरकार ने नहीं मानी सिफारि:श आजाद,सरकार ने नहीं मानी सिफारिश: आजाद
क्या घासः है संकर नेपियर घासः,क्या है संकर नेपियर घासः
रउद्योगों के श्रमिकों को कर्णप्लग अथवा कर्णबन्दक प्रदान करना,उद्योगों के श्रमिकों को कर्णप्लग अथवा कर्णबन्दक प्रदान करना
ये तस्वीर सच हुई तो हार जाएगी आप,ये तस्वीर सच हुई तो हार जाएगी आप
आग लगी तब कुआं खोदने चला निगम,आग लगी तब कुआं खोदने चला निगम
रघुवर के कार्यकाल कीकार्यवाही पर टीएसी ने नहीं लगायी मुहर,रघुवर के कार्यकाल की कार्यवाही पर टीएसी ने नहीं लगायी मुहर
"गेहूं क्रय केंद्र : बारदाना, कांटा पहुंचा, ई-पॉस मशीन मिलने का इंतजार","गेहूं क्रय केंद्र : बारदाना, कांटा पहुंचा, ई-पॉस मशीन मिलने का इंतजार"
घटना के तत्काल बाद मामला दर्ज क्यों नहीं करवाया,घटना के तत्काल बाद मामला दर्ज क्यों नहीं करवाया
निजीकरण के विरोध में दूसरे दिन भी आवाज बुलंद की आवाज,निजीकरण के विरोध में दूसरे दिन भी बुलंद की आवाज
पहली बार करण जौहर के साथ काम करेंगे रणवीर,पहली बार करण जौहर के साथ काम करेंगे रणवीर सिंह
"ये लो नींद की गोलयाँ ,","ये लो नींद की गोलियाँ ,"
श्रद्धालुओं को वितरित किया शर्बत,श्रद्धालुओं को वितरित किया शर्बत
खुशहाली का एहसास कराती है।,खुशहाली का एहसास कराती है।
हिंदी न्यूज़ उत्तर प्रदेश फिरोजाबाद संक्रमण को कर सील इलाकों में दीं सेवाएं,हिंदी न्यूज़ उत्तर प्रदेश फिरोजाबाद संक्रमण को दरकिनार कर सील इलाकों में दीं सेवाएं
"सिर्फ अधिकार ही नहीं, कर्तव्य  की भी बात करें शिक्षक : सिंह","सिर्फ अधिकार ही नहीं, कर्तव्य  की भी बात करें शिक्षक : सिंह"
छित्तुपुर रेग्युलेटर में रिसाव से जलमग्न हो रही फसल,छित्तुपुर रेग्युलेटर में रिसाव से जलमग्न हो रही फसल
काशीपुर में चालान काटने पर सीपीयू से भिड़े पर बाप-बेटे,काशीपुर में चालान काटने पर सीपीयू से भिड़े बाप-बेटे
"परिवहन मंत्री ने मनाली-दिल्ली ब सको दिखाई हरी झंडी, बोले- देंगे हर सुविधा","परिवहन मंत्री ने मनाली-दिल्ली बस को दिखाई हरी झंडी, बोले- देंगे हर सुविधा"
इस्लामिक रिसर्च फाउन्डेशन आईआरएफ के प्रमुख के विरुद्ध सरकार कड़े क़दम उठाने जा रही है।,इस्लामिक रिसर्च फाउन्डेशन आईआरएफ के प्रमुख के विरुद्ध सरकार कड़े क़दम उठाने जा रही है।
-हर छात्रा पांच लोगों को शिक्षा के प्रति जागरूक,-हर छात्रा पांच लोगों को करे शिक्षा के प्रति जागरूक
हिंदी न्यूज़ उत्तर प्रदेश शेरनी जेनिफर गौरीी को ब्रीडिंग सेंटर में भेजे जाने की तैयारी,हिंदी न्यूज़ उत्तर प्रदेश शेरनी जेनिफर गौरी को ब्रीडिंग सेंटर में भेजे जाने की तैयारी
हिंदी न्यूज़ उत्तराखंड नैनीताल आज विकास भी की मुख्य धारा से दूर हैं पर्वतीय क्षेत्र,हिंदी न्यूज़ उत्तराखंड नैनीताल आज भी विकास की मुख्य धारा से दूर हैं पर्वतीय क्षेत्र
"में पुलवामा हमले को लेकर अवाम में गुस्सा, बाजार बंद कर व्यापारियों ने की नारेबाजी","पुलवामा हमले को लेकर अवाम में गुस्सा, बाजार बंद कर व्यापारियों ने की नारेबाजी"
कुल्लू में दो-दो आधार नंबर से रह रहा प्रवासी,कुल्लू में दो-दो आधार नंबर से रह रहा प्रवासी
- राजस्व और चकबंदीन्यायालय,- राजस्व और चकबंदी न्यायालय
"शराबी पिता ने ुकल्हाड़ी से काटकर बेटी की हत्या की, गिरफ्तार","शराबी पिता ने कुल्हाड़ी से काटकर बेटी की हत्या की, गिरफ्तार"
ट्विटर की उत्पाद डिजाइनर टीना कोयामाने गुरुवार रात ट्वीट करके इसके जानकारी दी।,ट्विटर की उत्पाद डिजाइनर टीना कोयामा ने गुरुवार रात ट्वीट करके इसके जानकारी दी।
कमांडरों को बल प्रदान करती है रोटरी विंग विंग प्लेटफॉर्म,कमांडरों को बल प्रदान करती है रोटरी विंग प्लेटफॉर्म
जियो फोन पर ऐप शेयरचैट कैसे डाउनलोड करें,जियो फोन पर शेयरचैट ऐप कैसे डाउनलोड करें
नई 'योजन'ा से बढ़ेगा रेवन्यू,नई 'योजना' से बढ़ेगा रेवन्यू
इस हफ्ते किस्मत आपके साथ रहेगी।,इस हफ्ते किस्मत आपके साथ रहेगी।
इसलिए हुए बाहर इंग्लैंड दौरे से,इसलिए बाहर हुए इंग्लैंड दौरे से
चारों ंसीटों पर गठबंधन भाजपा के लिए कड़ी चुनौती,चारों सीटों पर गठबंधन भाजपा के लिए कड़ी चुनौती
मधुमेह क कारण रेटिना को रक्त पहुंचाने वाली नलिकाएं हो जाती हैं क्षतिग्रस्त,मधुमेह के कारण रेटिना को रक्त पहुंचाने वाली नलिकाएं हो जाती हैं क्षतिग्रस्त
क्षेत्र के गांव भैणी भैरो में क्रिकेट व अन्य खेल प्रतियोगिताओं का आयोजन किया गया।,क्षेत्र के गांव भैणी भैरो में क्रिकेट व अन्य खेल प्रतियोगिताओं का आयोजन किया गया।
जनरल हेड में खर् चकिया रोड कटिंग का पैसा,जनरल हेड में खर्च किया रोड कटिंग का पैसा
ऑपइंडिया ने राहुल गाँधी और संजय भंडारी के बीच संबंधों का किय ाथा खुलासा,ऑपइंडिया ने राहुल गाँधी और संजय भंडारी के बीच संबंधों का किया था खुलासा
अपने हाथों से छत टाइल्स को कैसे चिपकाएं?,अपने हाथों से छत टाइल्स को कैसे चिपकाएं?
प्रशांत किशोर ने कभी नहीं लड़ा कोई चुनाव,प्रशांत किशोर ने कभी नहीं लड़ा कोई चुनाव
"- आाकाश सक्सेना हनी, भाजपा नेता एवं शिकायतकर्ता, रामपुर","- आकाश सक्सेना हनी, भाजपा नेता एवं शिकायतकर्ता, रामपुर"
"मेहनत, अनुशासन और आत्मविश्वास ही के मंत्र","मेहनत, अनुशासन और आत्मविश्वास ही सफलता के मंत्र"
छिपा है सेहत का विज्ञान,छिपा है सेहत का विज्ञान
शिक्षा मंत्री से टेट मेरिट लिस्ट जारी शिक्षा कराने की मांग,शिक्षा मंत्री से टेट मेरिट लिस्ट जारी कराने की मांग
यह भी पढ़ें : पार्क से पानी भरकर ला रहे युवक की रास्ते मेंमौत,यह भी पढ़ें : पार्क से पानी भरकर ला रहे युवक की रास्ते में मौत
टोलकर्मियों पर टोल पीकर नाके में शराब पीकर गुंडागर्दी करने का आरोप। पढ़िए पूरी खबर-,टोलकर्मियों पर टोल नाके में शराब पीकर गुंडागर्दी करने का आरोप। पढ़िए पूरी खबर-
-चिल्ड्रेन पार्क मोतीझील में मल्टीमीडिया बेस्ड एक्वैटिक म्यूजिकल शो फाउन्टेन,-चिल्ड्रेन पार्क मोतीझील में मल्टीमीडिया बेस्ड एक्वैटिक शो म्यूजिकल फाउन्टेन
पूर्व प्रधानमंत्री ंदिरा गांधी ने दिया था पांच गायों का तोहफा,पूर्व प्रधानमंत्री इंदिरा गांधी ने दिया था पांच गायों का तोहफा
रेलवे ओवरब्रिज पर लाइट लगाने वाली कंपनी को फटकार,रेलवे ओवरब्रिज पर लाइट लगाने वाली कंपनी को फटकार
ऑटो हेडशॉट के लिए टिप्स,ऑटो हेडशॉट के लिए टिप्स
हाईकोर्ट ने सुनवाई के लिए तीन सप्ताह का समय दिया,हाईकोर्ट ने सुनवाई के लिए तीन सप्ताह का समय दिया
दी जा रही है,दी जा रही है दबिश
एटीएम एटीएम में कैश की कमी रहेगी,एटीएम में कैश की कमी रहेगी
इस पर अंतिम फैसला जीएसटी काउंसिल की बैठक में लिया ाजएगा,इस पर अंतिम फैसला जीएसटी काउंसिल की बैठक में लिया जाएगा
चंबा-भरमौर मार्ग पर सरेंई के पास आज सुबह सवारियं से भरी एक निजी बस,चंबा-भरमौर मार्ग पर सरेंई के पास आज सुबह सवारियों से भरी एक निजी बस
विश्वविद्यालय स्टाफ है पढ़ा रहा है 'क' कबूतर 'ख' खरगोश,विश्वविद्यालय स्टाफ पढ़ा रहा है 'क' कबूतर 'ख' खरगोश
ये आप अपनी बीवी को मत दीजियेगा वरना किसी भी,ये आप अपनी बीवी को मत दीजियेगा वरना किसी भी
जेठ की भीषण गर्मी भी शीतल छाया सी बन शजाएगी,जेठ की भीषण गर्मी भी शीतल छाया सी बन जाएगी
"शराब पीने के बाद कुटूंब दोनों भिड़े, मामला पहुंचा थाना","शराब पीने के बाद दोनों कुटूंब भिड़े, मामला पहुंचा थाना"
तेतुलमुड़ी में संचालित हिलटॉप कार्य स्थल पर लगी निषेधाज्ञा,तेतुलमुड़ी में संचालित हिलटॉप कार्य स्थल पर लगी निषेधाज्ञा
कुरु्क्षेत्र: कल कर्नाटक में किसकी जीत होगी?,कुरुक्षेत्र: कल कर्नाटक में किसकी जीत होगी?
"हिंदी न्यूज़ उत्तराखंड पिथौरागढ़ जनता कर्फ्यू, यात्रियों को भूखे को पेट करना पड़ा सफर","हिंदी न्यूज़ उत्तराखंड पिथौरागढ़ जनता कर्फ्यू, यात्रियों को भूखे पेट करना पड़ा सफर"
समस्याओं को श्रेणियों बांटा,समस्याओं को श्रेणियों में बांटा
औषधीय जड़ी बूटी के अतिरिक्त गोमांस या चिकन के शोरबा के साथ आहार आहार;,औषधीय जड़ी बूटी के अतिरिक्त गोमांस या चिकन के शोरबा के साथ आहार आहार;
हर हाल में रेल सेव को शुरू करना चाहता है रेलवे,हर हाल में रेल सेवा को शुरू करना चाहता है रेलवे
ाम मंदिर के मुद्दे पर आजम खान का उलेमाओं पर तंज,राम मंदिर के मुद्दे पर आजम खान का उलेमाओं पर तंज
बहन से मिलने व्यक्ति को पीटा,बहन से मिलने गए व्यक्ति को पीटा
"हरियाणा -कविता जैन, कैबिनेट मंत्री हरियाणा सरकार","-कविता जैन, कैबिनेट मंत्री हरियाणा सरकार"
किचन गार्डनिंग के लिए बेस्ट,किचन गार्डनिंग के लिए बेस्ट
अडिग हुए अडिग जब धर्म-कर्तव्य के पथ,अडिग हुए जब धर्म-कर्तव्य के पथ
मार्कशीट के सत्यापन के लिए दौड़ते रहे परिजनऔ र अभ्यर्थी,मार्कशीट के सत्यापन के लिए दौड़ते रहे परिजन और अभ्यर्थी
नील्सन विश्लेषकों को नहीं देगी आंकड़े,नील्सन विश्लेषकों को नहीं देगी आंकड़े
में सरयांज खुली यूको बैंक की एटीएम,सरयांज में खुली यूको बैंक की एटीएम
"एसडीओ ने कहा, होगी कार्रवाई","एसडीओ ने कहा, होगी कार्रवाई"
होम देश पीएनबी घोटाला: ने अदालत नीरव मोदी की परिसंपत्तियां कुर्क करने की अनुमति दी,होम देश पीएनबी घोटाला: अदालत ने नीरव मोदी की परिसंपत्तियां कुर्क करने की अनुमति दी
खेती:हरियाणा में लुप्त हो खाकी चुकी कपास को पुनर्जीवित करने के प्रयास शुरू,खेती:हरियाणा में लुप्त हो चुकी खाकी कपास को पुनर्जीवित करने के प्रयास शुरू
जरूरतमदों को निःशुल्क कपड़ा बांटने क्लॉथ बैंक की,जरूरतमदों को निःशुल्क कपड़ा बांटने क्लॉथ बैंक की शुरुआत
शोबिज में महिला कलाकारों के लिए काफी सकारात्मकता आई : शाहरुख,शोबिज में महिला कलाकारों के लिए काफी सकारात्मकता आई : शाहरुख
नैनी एरिया अनियंत्रित बाइक दीवार से टकराई करेली दो के युवकों की मौत,नैनी एरिया अनियंत्रित बाइक दीवार से टकराई करेली के दो युवकों की मौत
"जहां नहीं, कानूनी खौफ नहीं, अपराध वहीं","जहां कानूनी खौफ नहीं, अपराध वहीं"
बागेश्वर ेमं सोमवार की रात जमकर बरसे मेघ,बागेश्वर में सोमवार की रात जमकर बरसे मेघ
बरेली के ऑटो का हरियाणा में ओवरलोडिंग में ट्रक चालान,बरेली के ऑटो का हरियाणा में ओवरलोडिंग ट्रक में चालान
हिंदी न्यूज़ उत्तराखंड शर्मनाक: उत्पीड़न की शिकार छात्रा एडमिशन लिए काट रही है लिए चक्कर,हिंदी न्यूज़ उत्तराखंड शर्मनाक: उत्पीड़न की शिकार छात्रा एडमिशन लिए काट रही है चक्कर
उन्होंने कहा कि राजस्थान और दिल्ली में प्रनचार में अनुशासनहीनता ले डूबी।,उन्होंने कहा कि राजस्थान और दिल्ली में प्रचार में अनुशासनहीनता ले डूबी।
कौन दाढ़ी वाला अंतरराष्ट्रीय माफिया ?,कौन है दाढ़ी वाला अंतरराष्ट्रीय माफिया ?
कुनुस्तोरिया क्षेत्र में उद्योग विकास में मिले में सहयोग : संदीप,कुनुस्तोरिया क्षेत्र में उद्योग विकास में मिले सहयोग : संदीप
इन्नाीखेड़ा गांव में बाजरा के खेत में निकलीं मुगलकालीन सोने की दीनारें,इन्नाीखेड़ा गांव में बाजरा के खेत में निकलीं मुगलकालीन सोने की दीनारें
कुंभ के भाई को कलाकंद खिलाएं एवं नीले रंग से सजी राखी बांधें।,कुंभ राशि के भाई को कलाकंद खिलाएं एवं नीले रंग से सजी राखी बांधें।
- एलआईसी सहित सभी कंपनियों को आईआरडीए के नेिर्देशों के अनुसार कार्य करने के निर्देश,- एलआईसी सहित सभी कंपनियों को आईआरडीए के निर्देशों के अनुसार कार्य करने के निर्देश
मानसा में कैबिनेट मंोत्री गुरप्रीत सिंह कांगड़ ने किया ध्वजारोहण,मानसा में कैबिनेट मंत्री गुरप्रीत सिंह कांगड़ ने किया ध्वजारोहण
गिरफ़्तारी के कुछ बाद देर रिहा हुए थे माल्या,गिरफ़्तारी  के कुछ देर बाद रिहा हुए थे माल्या
नरेंद्र मोदी लहर के बीच कश्मीर में दूसरे चरण का मतदान,नरेंद्र मोदी लहर के बीच कश्मीर में दूसरे चरण का मतदान
लॉटरी के करते नाम करते थे ठगी,लॉटरी के नाम करते थे ठगी
पहले भ ी जम्मू कश्मीर में ब्लैक कैट कमांडो तैनात हुए हैं,पहले भी जम्मू कश्मीर में ब्लैक कैट कमांडो तैनात हुए हैं
के न्यूरोलॉजी के अस्पताल में अल्सर का इलाज,न्यूरोलॉजी के अस्पताल में अल्सर का इलाज
के सदस्य की मिलीभगत,विभाग के सदस्य की मिलीभगत
ढुलू ने रिमांड पर नहीं दिया किस सवाल का जवाब,ढुलू ने रिमांड पर नहीं दिया किसी सवाल का जवाब
"तस्वीरें: नाके पर पुलिस ने पकड़ी बड़ी रकम, नोटों के बंडल देख उड़ जाएंगे होश","तस्वीरें: नाके पर पुलिस ने पकड़ी बड़ी रकम, नोटों के बंडल देख उड़ जाएंगे होश"
"दीपोत्सव पर हुआ मां काली का पूजन, पुष्पांजलि कर भक्तों ने मांगी समृद्धि","दीपोत्सव पर हुआ मां काली का पूजन, पुष्पांजलि कर भक्तों ने मांगी समृद्धि"
"दिल्ली से स्पॉट तलय कर आ रही सर्वे टीम, निगम और हमारी परीक्षा","दिल्ली से स्पॉट तय कर आ रही सर्वे टीम, निगम और हमारी परीक्षा"
"अक्षरा सिंह ने किया टोनी कक्कड़ के गाने पर जबरदस्त डांस, वीडियो वायरल","अक्षरा सिंह ने किया टोनी कक्कड़ के गाने पर जबरदस्त डांस, वीडियो वायरल"
मुख्यालय और ग्रामीण क्षेत्रों में बढ़ी पानी की दिक्कत,मुख्यालय और ग्रामीण क्षेत्रों में बढ़ी पानी की दिक्कत
- खेल विभाग ने शुरू की मानदेय प्रशिक्षकों की तैनाती प्रशिक्षकों की प्रक्रिया,- खेल विभाग ने शुरू की मानदेय प्रशिक्षकों की तैनाती की प्रक्रिया
"सऊदी कौंसुलेट में जमाल ख़शोगी की हत्या कर दी गयी, तुर्की पुलिस आरोप का","सऊदी कौंसुलेट में जमाल ख़शोगी की हत्या कर दी गयी, तुर्की पुलिस का आरोप"
'आईसीयू बेड उपलब्ध  नहोने से हुई मौत','आईसीयू बेड उपलब्ध न होने से हुई मौत'
"करजा में दहेज के विवाहिता की हत्या, पति-ससुर गिरफ्तार","करजा में दहेज के लिए विवाहिता की हत्या, पति-ससुर गिरफ्तार"
-विनर्स को दिया गया ैकश प्राइज,-विनर्स को दिया गया कैश प्राइज
अस्पताल प्रशासन ने रवैया बदला तो जाऊंगा कोर्ट : संजय शर्मा,अस्पताल प्रशासन ने रवैया नहीं बदला तो जाऊंगा कोर्ट : संजय शर्मा
"वेटर बने दुनिया के दो बड़े अमीर् शख्स, कैश काउंटर भी संभाला, देखे तस्वीरें","वेटर बने दुनिया के दो बड़े अमीर शख्स, कैश काउंटर भी संभाला, देखे तस्वीरें"
बाद अधिकारियों ने अपने कार्यालय में बैठकर कार्य भी निपटाए।,इसके बाद अधिकारियों ने अपने कार्यालय में बैठकर कार्य भी निपटाए।
हिंदी न्यूज़ उत्तराखंड पौड़ी पौड़ी में डॉक्टों ने जताया विरोध,हिंदी न्यूज़ उत्तराखंड पौड़ी पौड़ी में डॉक्टरों ने जताया विरोध
फार्मासिस्ट को लाठी-डंडों ासे प्रहार कर किया गंभीर,फार्मासिस्ट को लाठी-डंडों से प्रहार कर किया गंभीर
कोहरे ने थाम दी की रफ्तार,कोहरे ने थाम दी वाहनों की रफ्तार
भक्तों ने लगाई गिरिराजरजी की दूध की धार परिक्रमा,भक्तों ने लगाई गिरिराजजी की दूध की धार परिक्रमा
फिर जिला जेल में हफुई बगावत,फिर जिला जेल में हुई बगावत
ेडढ़ दशक में छह गुना फायदा,डेढ़ दशक में छह गुना फायदा
कम्प्यूटर ऑपरेटर व डेवलेपर चाइल्ड प्रोजेक्ट ऑफिसर,कम्प्यूटर ऑपरेटर व चाइल्ड डेवलेपर प्रोजेक्ट ऑफिसर
- एसडीएम के व्यवहार से ग्रामीणों ने किया शिविर का बहिष्कार,- एसडीएम के व्यवहार से नाराज ग्रामीणों ने किया शिविर का बहिष्कार
-तीन पालियों में हुआ एग्जीाम,-तीन पालियों में हुआ एग्जाम
स्मैक कारोबार में दिनदहाडे हत्या,स्मैक कारोबार विवाद में दिनदहाडे हत्या
यात्रा कांवड़ यात्रा में न बजें फिल्मी गाने,कांवड़ यात्रा में न बजें फिल्मी गाने
पानी की बर्बादी तुरंत पर रोक लगाने का संकल्प हमें लेना चाहिएः संजय पुरृ,पानी की बर्बादी पर तुरंत रोक लगाने का संकल्प हमें लेना चाहिएः संजय पुरृ
नौ दलों का भागीदारी मोर्चा संकल्प,नौ दलों का भागीदारी संकल्प मोर्चा
महंगी बाइक्स को खरीदने में लोगों को होती है दिक्कत,महंगी बाइक्स को खरीदने में लोगों को होती है दिक्कत
रुविवि में दूसरे दिन भी नारेबाजी-हंगामा,रुविवि में दूसरे दिन भी नारेबाजी-हंगामा
हिंदी न्यूज़ बिहार बक्सर पीएम के जनमदिन पर भाजपाइयों ने किया पौधरोपण,हिंदी न्यूज़ बिहार बक्सर पीएम के जन्मदिन पर भाजपाइयों ने किया पौधरोपण
जमा में इजाफे का दौर शुरू,जमा दरों में इजाफे  का दौर शुरू
निधन पर पीएम मोदी समेत कई नेताओं ने जताया,निधन पर पीएम मोदी समेत कई नेताओं ने जताया शोक
"तस्वीरें: लूटकर भी ले गए, तबाह भी कर गए","तस्वीरें: लूटकर भी ले गए, तबाह भी कर गए"
हिंदी न्यूज़ झारकखंड दुमका शिवमंदिर से आकर्षक शिवबारात निकालने की तैयारी,हिंदी न्यूज़ झारखंड दुमका शिवमंदिर से आकर्षक शिवबारात निकालने की तैयारी
तस्वीरें: गौ मांस पर हिंदू सेना हुई मोदी के मंत्री के,तस्वीरें: गौ मांस पर हिंदू सेना हुई मोदी के मंत्री के खिलाफ
- मासूम साथ प्रेमी के साथ यहां रह रही थी महिला,- मासूम के साथ प्रेमी के साथ यहां रह रही थी महिला
बी वारंट पर नैनीताल नैनीताल हाईकोर्ट ने रोक लगा दी,बी वारंट पर नैनीताल हाईकोर्ट ने रोक लगा दी
पाकिस्तान और तालिबान के समितियों के बीच स्थगित,"पाकिस्तान और तालिबान के समितियों के बीच बै""क स्थगित"
"-रोस्टर के हिसाब से कपड़ा, जूता व अन्य मार्केट ओपन","-रोस्टर के हिसाब से कपड़ा, जूता व अन्य मार्केट ओपन"
सीबीआई करेगी टाटा और मिस्त्री से से पूछताछ,सीबीआई करेगी टाटा और मिस्त्री से पूछताछ
प्रशांत यादव मीरजापुर प्रदेश के मीरजपुर सोनभद्र भदोही वाराणसी प्रयागराज कानपुर,प्रशांत यादव मीरजापुर प्रदेश के मीरजापुर सोनभद्र भदोही वाराणसी प्रयागराज कानपुर
इसे भी पढ़ें: चान्द्रशेखर आजाद का जैसा नाम था वैसा ही काम था,इसे भी पढ़ें: चन्द्रशेखर आजाद का जैसा नाम था वैसा ही काम था
"पचास लाख यमनी बच्चे खतरे में , यूनिसेफ ने जारी कर चेतावनी!","पचास लाख यमनी बच्चे खतरे में , यूनिसेफ ने जारी कर दी चेतावनी!"
काम नहीं करने का नया तरीका है। वो कहते हैं न चोर-चोर मौसेरे भाई।,काम नहीं करने का नया तरीका है। वो कहते हैं न चोर-चोर मौसेरे भाई।
ग्रांट देने के लिए गाँव वासियों पंजाब सरकार का किया धन्नवाद,ग्रांट देने के लिए गाँव वासियों ने पंजाब सरकार का किया धन्नवाद
जिला फोरम में पंद्रह वकील,जिला फोरम में पंद्रह वकील
उत्तराखंड विवि कर्मचारी महासंघ में शामिल होने पर स्वागत,उत्तराखंड विवि कर्मचारी महासंघ में शामिल होने पर स्वागत
इनमें से अधिकांश लोग पर्यटक का वीजा लेकर पहुंचे भारत हैं। लेकिन,इनमें से अधिकांश लोग पर्यटक का वीजा लेकर भारत पहुंचे हैं। लेकिन
गया जंक्शन पर उड़ाया यात्री का मोबाइल,गया जंक्शन पर उड़ाया यात्री का मोबाइल
दशहरे पर सत्य के प्रतीक रावण का दहन हुआ,दशहरे पर असत्य के प्रतीक रावण का दहन हुआ
शारदीय नवरात्र के विशेष में आलेख,शारदीय नवरात्र के विशेष में रोचक आलेख
"कोहली ने कहा, बल्लेबाजी में हमे ज्यादा बेहतर प्रदर्शन करने की जरूरत","कोहली ने कहा, बल्लेबाजी में हमे ज्यादा बेहतर प्रदर्शन करने की जरूरत"
"आज से दो दिनों की अमेठी यात्रा पर राहुल गांधी, मोदी सरकार पर साधा नशाना","आज से दो दिनों की अमेठी यात्रा पर राहुल गांधी, मोदी सरकार पर साधा निशाना"
सीडीएस जनरल विपिन रावत ने इस बात पर इस दिया था जोर,सीडीएस जनरल विपिन रावत ने इस बात पर दिया था जोर
के विवेक ने राज्य में पाया चौथा स्थान,काशीपुर के विवेक ने राज्य में पाया चौथा स्थान
"हिंदी न्यूज़ बिहार अररिया भाई-बहन के प्रेम का पर्व सामा चकेवा आज, तैयारी पूरी","हिंदी न्यूज़ बिहार अररिया भाई-बहन के प्रेम का पर्व सामा चकेवा आज, तैयारी पूरी"
"बल्लेबाजी सुधारने शास्त्री की शरण में धोनी, दस मैचों में नहीं चला है बल्ला","बल्लेबाजी सुधारने शास्त्री की शरण में धोनी, दस मैचों में नहीं चला है बल्ला"
जन मन: आसनसोल हिंसा में बेटे को खोने वाले इमाम ने की शांति की अपील,जन मन: आसनसोल हिंसा में बेटे को खोने वाले इमाम ने की शांति की अपील
"सडक हादसे में बाइक सवार दादा की मौत, पोता घायल","सड़क हादसे में बाइक सवार दादा की मौत, पोता घायल"
बड़े पैमाने पर अवैध वेंडर कर रहे काम,बड़े पैमाने पर अवैध वेंडर कर रहे काम
जागृति आसाराम को उम्रकैद पर शिवसेना ने कहा- हिंदू धर्म को है जागृति की जरूरत,आसाराम को उम्रकैद पर शिवसेना ने कहा- हिंदू धर्म को है जागृति की जरूरत
