Input Sentences,Output Sentences
షెడ్యూల్ లో మార్పులు చేసిన ఎన్నికల సంఘం,షెడ్యూల్ లో మార్పులు చేసిన ఎన్నికల సంఘం
సుబ్రహ్మణ్యంలో భూ వినియోగం కింది విధంగా ఉంది:,సుబ్రహ్మణ్యంలో భూ వినియోగం కింది విధంగా ఉంది:
తండ్రికి తన సపోర్ట్ లేదంటోన్న శ్రుతిహాసన్!,తండ్రికి తన సపోర్ట్ లేదంటోన్న శ్రుతిహాసన్!
సంచలనం సృష్టించిన వైజాగ్ విషవాయువు లీక్ ఘటన,సంచలనం సృష్టించిన వైజాగ్ విషవాయువు లీక్ ఘటన
వచ్చిన అవకాశాన్ని జగన్ సద్వినియోగం చేసుకోవాలి,వచ్చిన అవకాశాన్ని జగన్ సద్వినియోగం చేసుకోవాలి
బెంగాల్ లో విచారణ ఖైదీలు కోర్టుకెళ్లాల్సిన పనిలేదట!,బెంగాల్ లో విచారణ ఖైదీలు కోర్టుకెళ్లాల్సిన పనిలేదట!
ఆధిపత్య పోరే హత్యకు కారణమని భావిస్తున్న పోలీసులు,ఆధిపత్య పోరే హత్యకు కారణమని భావిస్తున్న పోలీసులు
వ్యవసాయ క్షేత్రానికి వెళ్లే దారిలో భారీ బందోబస్తు,వ్యవసాయ క్షేత్రానికి వెళ్లే దారిలో భారీ బందోబస్తు
గుండెతడి లేక నూనెలో వండి పిండి,గుండెతడి లేక నూనెలో వండి పిండి
ఓం ఐం హ్రీం శ్రీం సర్వాకర్షిణీ నమః,ఓం ఐం హ్రీం శ్రీం సర్వాకర్షిణీ నమః
అంతర్జాతీయ బాలికల దినోత్సవాన్ని పురస్కరించుకుని ఫేస్ బుక్ లో పోస్టుపెట్టిన యువతి,అంతర్జాతీయ బాలికల దినోత్సవాన్ని పురస్కరించుకుని ఫేస్ బుక్ లో పోస్టుపెట్టిన యువతి
నిర్భయ దోషుల క్యూరేటివ్ పిటిషన్ కొట్టేసిన సుప్రీం,నిర్భయ దోషుల క్యూరేటివ్ పిటిషన్ కొట్టేసిన సుప్రీం
ఫ్రేమింగ్ మెటీరియల్స్ ఎలా అంచనా వేయాలి,ఫ్రేమింగ్ మెటీరియల్స్ ఎలా అంచనా వేయాలి
నేడు విశాఖ స్టీల్ ప్లాంట్ కార్మికుల ఆందోళన,నేడు విశాఖ స్టీల్ ప్లాంట్ కార్మికుల ఆందోళన
డబ్ల్యూటీసీ ఫైనల్లో పేలవంగా ఓడిపోయిన భారత్,డబ్ల్యూటీసీ ఫైనల్లో పేలవంగా ఓడిపోయిన భారత్
"ప్రతి సామాన్యుడికీ మానసిక ధైర్యాన్ని ఇచ్చి అతనికి అండగా నిలుస్తుంది,","ప్రతి సామాన్యుడికీ మానసిక ధైర్యాన్ని ఇచ్చి అతనికి అండగా నిలుస్తుంది,"
"కేసీఆర్ సాఫ్ట్, మోడీతో డీల్: ఎజెండాను పక్కన పెట్టిన బాబు","కేసీఆర్ సాఫ్ట్, మోడీతో డీల్: ఎజెండాను పక్కన పెట్టిన బాబు"
ద్విచక్రవాహనదారుడి ప్రాణం తీసిన గాలిపటం మాంజ,ద్విచక్రవాహనదారుడి ప్రాణం తీసిన గాలిపటం మాంజ
మై జియో యాప్  ద్వారా ఉపయోగించుకోవాలి,మై జియో యాప్  ద్వారా ఉపయోగించుకోవాలి
ములుగు జిల్లాలోకి కరోనా వైరస్ రాకుండా సమ్మక్క-సారలమ్మ తల్లులే చూడాలి: తెలంగాణ మంత్రి సత్యవతి రాథోడ్,ములుగు జిల్లాలోకి కరోనా వైరస్ రాకుండా సమ్మక్క-సారలమ్మ తల్లులే చూడాలి: తెలంగాణ మంత్రి సత్యవతి రాథోడ్
సమావేశ గదిలో వ్యాపార సమావేశాల కోసం అన్ని సదుపాయాలను;,సమావేశ గదిలో వ్యాపార సమావేశాల కోసం అన్ని సదుపాయాలను;
దాణా ధర కూడా దక్కని ధాన్యం! -రైతుల పరిస్థితి దైన్యం,దాణా ధర కూడా దక్కని ధాన్యం! -రైతుల పరిస్థితి దైన్యం
బన్నీ పవన్ ని పక్కకు పెట్టాడతాడా,బన్నీ పవన్ ని పక్కకు పెట్టాడతాడా
"అభివృద్ధి పనులు, పంటల సాగు పరిశీలన","అభివృద్ధి పనులు, పంటల సాగు పరిశీలన"
"కడప, విశాఖ, శ్రీకాకుళం, విజయనగరం తదితర జిల్లాల్లో శిల్పారామాలు","కడప, విశాఖ, శ్రీకాకుళం, విజయనగరం తదితర జిల్లాల్లో శిల్పారామాలు"
మూత వేయని బావులు నీరుగ్రామంలో లేదు,మూత వేయని బావులు నీరుగ్రామంలో లేదు
నేడు వెహికల్ స్క్రాపేజ్ విధానాన్ని ప్రారంభించనున్న ప్రధాని మోదీ,నేడు వెహికల్ స్క్రాపేజ్ విధానాన్ని ప్రారంభించనున్న ప్రధాని మోదీ
పఠాన్ కోట్ కు రానున్న పాకిస్థాన్ దర్యాప్తు బృందం,పఠాన్ కోట్ కు రానున్న పాకిస్థాన్ దర్యాప్తు బృందం
"విష్ణువర్ధన్ రెడ్డి, బీజేపీ ప్రధాన కార్యదర్శి","విష్ణువర్ధన్ రెడ్డి, బీజేపీ ప్రధాన కార్యదర్శి"
ఉప్పలపాడులో భూ వినియోగం కింది విధంగా ఉంది:,ఉప్పలపాడులో భూ వినియోగం కింది విధంగా ఉంది:
జగన్ ప్రభుత్వానికి ఇదే మొట్టమొదటి బడ్జెట్,జగన్ ప్రభుత్వానికి ఇదే మొట్టమొదటి బడ్జెట్
కోర్టు చివాట్లు పెట్టినా చంద్రబాబు తుడుచుకుని పోతున్నారు: రఘువీరా,కోర్టు చివాట్లు పెట్టినా చంద్రబాబు తుడుచుకుని పోతున్నారు: రఘువీరా
"ప్రపంచ, స్థానిక సురక్షిత ప్రమాణాలు పాటించాలి:","ప్రపంచ, స్థానిక సురక్షిత ప్రమాణాలు పాటించాలి:"
అధిష్ఠానానికి రిపోర్టును తయారు చేసిన కుంతియా,అధిష్ఠానానికి రిపోర్టును తయారు చేసిన కుంతియా
ఎడమ చేతి మణికట్టు గాయంతో బాధపడుతోన్న వికెట్ కీపర్ క్వింటన్ డీకాక్,ఎడమ చేతి మణికట్టు గాయంతో బాధపడుతోన్న వికెట్ కీపర్ క్వింటన్ డీకాక్
ఈ సినిమాతో దర్శకుడిగా పరిచయమవుతున్న గౌతమ్ ఈవీఎస్,ఈ సినిమాతో దర్శకుడిగా పరిచయమవుతున్న గౌతమ్ ఈవీఎస్
"అది కేసీఆర్ ఆర్డర్, అందుకే టార్గెట్ చేశా: కేటీఆర్","అది కేసీఆర్ ఆర్డర్, అందుకే టార్గెట్ చేశా: కేటీఆర్"
ఉపాధ్యాయులతో వీడియో కాన్ఫరెన్స్ నిర్వహించిన మంత్రి,ఉపాధ్యాయులతో వీడియో కాన్ఫరెన్స్ నిర్వహించిన మంత్రి
వృశ్చిక రాశి: ఈరోజు చేపట్టిన పనుల్లో విజయం !,వృశ్చిక రాశి: ఈరోజు చేపట్టిన పనుల్లో విజయం !
ప్రతిరోజూ లేవగానే కొన్ని వేడి నీరు తీసుకోవాలి,ప్రతిరోజూ లేవగానే కొన్ని వేడి నీరు తీసుకోవాలి
అమ్మవార్ల గద్దెల చుట్టూ పగిలిన గచ్చు,అమ్మవార్ల గద్దెల చుట్టూ పగిలిన గచ్చు
అప్రమత్తంగా ఉండాలని టీఆర్ఎస్ శ్రేణులకు ఆదేశాలు,అప్రమత్తంగా ఉండాలని టీఆర్ఎస్ శ్రేణులకు ఆదేశాలు
నిజామాబాద్ కు వచ్చిన కశ్మీర్ ఫ్రూట్స్,నిజామాబాద్ కు వచ్చిన కశ్మీర్ ఫ్రూట్స్
సద్భావన దినం నిర్వహిస్తున్న  రైతు సంఘాల నేతలు,సద్భావన దినం నిర్వహిస్తున్న  రైతు సంఘాల నేతలు
వచ్చే ఎన్నికల్లో మాలలు టీడీపీకి మద్దతిచ్చి గెలిపించాలి: కారెం శివాజీ,వచ్చే ఎన్నికల్లో మాలలు టీడీపీకి మద్దతిచ్చి గెలిపించాలి: కారెం శివాజీ
యూనియన్లు సమ్మె విరమించి చర్చలకు రావాలి - కేకే,యూనియన్లు సమ్మె విరమించి చర్చలకు రావాలి - కేకే
అక్రమ సంబంధం: ప్రియుడితో కలిసి భర్తను చంపేసిన మహిళ,అక్రమ సంబంధం: ప్రియుడితో కలిసి భర్తను చంపేసిన మహిళ
మానసికంగా ఉండే ఒత్తిడిని ఎలా అధిగమించారు?,మానసికంగా ఉండే ఒత్తిడిని ఎలా అధిగమించారు?
"తండ్రి బహుమతిగా ఇచ్చిన మద్యం బాటిళ్లు అమ్మి, ఇల్లు కొనుక్కున్న యువకుడు","తండ్రి బహుమతిగా ఇచ్చిన మద్యం బాటిళ్లు అమ్మి, ఇల్లు కొనుక్కున్న యువకుడు"
ఎన్నికల కమిషనర్ లావాసా రాజీనామా - సీఈసీ చాన్స్ వదులుకుని ఏడీబీలోకి - గతంలో మోదీపై విభేదాలు,ఎన్నికల కమిషనర్ లావాసా రాజీనామా - సీఈసీ చాన్స్ వదులుకుని ఏడీబీలోకి - గతంలో మోదీపై విభేదాలు
నిర్థారించడానికి నాణ్యత సమీక్షలు చదవండి సరిపోతుంది,నిర్థారించడానికి నాణ్యత సమీక్షలు చదవండి సరిపోతుంది
నార్లవలసలో భూ వినియోగం కింది విధంగా ఉంది:,నార్లవలసలో భూ వినియోగం కింది విధంగా ఉంది:
ప్రత్యేక హోదాపై కాంగ్రెస్ విమర్శలు సరికాదు: వెంకయ్యనాయుడు,ప్రత్యేక హోదాపై కాంగ్రెస్ విమర్శలు సరికాదు: వెంకయ్యనాయుడు
ఏడేళ్ల బాలుడిపై పులి దూకిన వీడియో వైరల్,ఏడేళ్ల బాలుడిపై పులి దూకిన వీడియో వైరల్
డాక్టర్ రమేశ్ బాబుపై పోలీసులు లక్ష రూపాయల రివార్డు ప్రకటించడంపై ఐఎంఏ అభ్యంతరం,డాక్టర్ రమేశ్ బాబుపై పోలీసులు లక్ష రూపాయల రివార్డు ప్రకటించడంపై ఐఎంఏ అభ్యంతరం
ఒక స్టోరీ సెలక్షన్ అప్పుడు తెలుగు ఆడియన్స్ కి దృష్టిలో పెట్టుకొని సెలెక్ట్ చేస్తారా?,ఒక స్టోరీ సెలక్షన్ అప్పుడు తెలుగు ఆడియన్స్ కి దృష్టిలో పెట్టుకొని సెలెక్ట్ చేస్తారా?
విదేశీ టీకాలపై దిగుమతి సుంకం తొలగింపు?,విదేశీ టీకాలపై దిగుమతి సుంకం తొలగింపు?
ఎలా వేయించిన కాలమారి మరియు సగ్గుబియ్యము ఉడికించాలి?,ఎలా వేయించిన కాలమారి మరియు సగ్గుబియ్యము ఉడికించాలి?
ఉంటున్న చేసే అద్దెదారులు పూర్తి జాబితా;,ఉంటున్న చేసే అద్దెదారులు పూర్తి జాబితా;
మార్నింగ్ సిక్ నెస్ ను నివారించే ఎఫెక్టివ్ హోం రెమెడీస్,మార్నింగ్ సిక్ నెస్ ను నివారించే ఎఫెక్టివ్ హోం రెమెడీస్
పిటిషన్ తయారీపై అధికారులతో తెలంగాణ మంత్రి సత్యవతి సమీక్ష,పిటిషన్ తయారీపై అధికారులతో తెలంగాణ మంత్రి సత్యవతి సమీక్ష
మూత వేయని బావులు నీరుగ్రామంలో లేదు,మూత వేయని బావులు నీరుగ్రామంలో లేదు
ఎన్నికల వేడిలోనే అలా మాట్లాడా: సుప్రీంకోర్టుకు విచారం వ్యక్తం చేసిన రాహుల్,ఎన్నికల వేడిలోనే అలా మాట్లాడా: సుప్రీంకోర్టుకు విచారం వ్యక్తం చేసిన రాహుల్
ట్రంప్ కు అంత సీన్ లేదంటున్న అమెరికన్లు!,ట్రంప్ కు అంత సీన్ లేదంటున్న అమెరికన్లు!
చిగుళ్ళ సమస్యలు: అంతర్లీన వ్యాధులు మరియు చికిత్స,చిగుళ్ళ సమస్యలు: అంతర్లీన వ్యాధులు మరియు చికిత్స
నేడు 'కంగుంది' వీధి నాటక కళాకారుడి అవతారం,నేడు 'కంగుంది' వీధి నాటక కళాకారుడి అవతారం
పుదుచ్చేరిలో ముఖ్యమంత్రిగా భాద్యతలు చేపట్టిన నారాయణ స్వామి,పుదుచ్చేరిలో ముఖ్యమంత్రిగా భాద్యతలు చేపట్టిన నారాయణ స్వామి
పవన్ కథ లీక్ చేసిన నాగబాబు,పవన్ కథ లీక్ చేసిన నాగబాబు
బీజేపీని ఓడించినందుకు ప్రజలకు శాల్యూట్ చేస్తున్నానన్న చిదంబరం,బీజేపీని ఓడించినందుకు ప్రజలకు శాల్యూట్ చేస్తున్నానన్న చిదంబరం
జగన్ నివాసానికి పోటెత్తిన ఎమ్మెల్యేలు: ట్రాఫిక్ జాం,జగన్ నివాసానికి పోటెత్తిన ఎమ్మెల్యేలు: ట్రాఫిక్ జాం
లవ్ జిహాద్ పై ఉక్కుపాదం మోపుతామని స్పష్టీకరణ,లవ్ జిహాద్ పై ఉక్కుపాదం మోపుతామని స్పష్టీకరణ
యుద్ధానికి ఎప్పుడూ సిద్ధమే : చైనా,యుద్ధానికి ఎప్పుడూ సిద్ధమే : చైనా
రాష్ట్రంలో యూరియా కొరత లేకుండా చూస్తాం,రాష్ట్రంలో యూరియా కొరత లేకుండా చూస్తాం
ఫైనల్స్ కు ఆతిథ్యం ఇవ్వనున్న మెల్బోర్న్,ఫైనల్స్ కు ఆతిథ్యం ఇవ్వనున్న మెల్బోర్న్
తిరుపతి సీటు బీజేపీకి ఇచ్చి తప్పు చేశాం: చంద్రబాబు,తిరుపతి సీటు బీజేపీకి ఇచ్చి తప్పు చేశాం: చంద్రబాబు
ఇల్లు ఖాళీ చేయమన్న ఓనర్ ను చెప్పుతో కొట్టిన ఎమ్మెల్సీ!,ఇల్లు ఖాళీ చేయమన్న ఓనర్ ను చెప్పుతో కొట్టిన ఎమ్మెల్సీ!
సమగ్ర కుటుంబ సర్వే సమయంలో లేని అభ్యంతరం ఇప్పుడెందుకొచ్చింది?: ఒవైసీపై ఎంపీ అరవింద్ విసుర్లు,సమగ్ర కుటుంబ సర్వే సమయంలో లేని అభ్యంతరం ఇప్పుడెందుకొచ్చింది?: ఒవైసీపై ఎంపీ అరవింద్ విసుర్లు
ముంబయిపై ఆరు వికెట్ల తేడాతో గెలిచిన ఢిల్లీ క్యాపిటల్స్,ముంబయిపై ఆరు వికెట్ల తేడాతో గెలిచిన ఢిల్లీ క్యాపిటల్స్
- ఆశించినమేర అభివృద్ధి చేయలేదనే ఆరోపణలు,- ఆశించినమేర అభివృద్ధి చేయలేదనే ఆరోపణలు
గిద్దలూరు నియోజకవర్గ సమన్వయకర్త వైఎస్సార్ కాంగ్రెస్,గిద్దలూరు నియోజకవర్గ సమన్వయకర్త వైఎస్సార్ కాంగ్రెస్
"సికింద్రాబాదు నుంచి విశాఖ, విజయవాడలకు ప్రత్యేక రైళ్లు","సికింద్రాబాదు నుంచి విశాఖ, విజయవాడలకు ప్రత్యేక రైళ్లు"
పవన్ కళ్యాణ్ అందుకే మీడియా ముందుకు రావడం లేదా ?,పవన్ కళ్యాణ్ అందుకే మీడియా ముందుకు రావడం లేదా ?
కేంద్ర మానవవనరుల మంత్రి విచిత్ర వ్యాఖ్యలు,కేంద్ర మానవవనరుల మంత్రి విచిత్ర వ్యాఖ్యలు
టాలీవుడ్ లోకి మళ్ళీ బాలీవుడ్ భామలు,టాలీవుడ్ లోకి మళ్ళీ బాలీవుడ్ భామలు
నేను వస్తున్నా ఎవడొచ్చి ఆపుతాడో ఆపుకోండి!,నేను వస్తున్నా ఎవడొచ్చి ఆపుతాడో ఆపుకోండి!
లక్ష్మీపూర్లో భూ వినియోగం కింది విధంగా ఉంది:,లక్ష్మీపూర్లో భూ వినియోగం కింది విధంగా ఉంది:
"నా భార్య వెళ్లిపోయింది, కెరీర్ దెబ్బతింది: జ్వాలా గుత్తా ప్రియుడు","నా భార్య వెళ్లిపోయింది, కెరీర్ దెబ్బతింది: జ్వాలా గుత్తా ప్రియుడు"
వ్యవసాయ శాఖ అధికారులతో కలిసి పంటల పరిశీలన,వ్యవసాయ శాఖ అధికారులతో కలిసి పంటల పరిశీలన
ప్రయాణికుల సమాచార వ్యవస్థ పేరిట ఆర్టీసీ వడ్డింపు,ప్రయాణికుల సమాచార వ్యవస్థ పేరిట ఆర్టీసీ వడ్డింపు
బాధితుల ఫిర్యాదుతో నిందితుడిని అరెస్టు చేసిన సైబరాబాద్ పోలీసులు,బాధితుల ఫిర్యాదుతో నిందితుడిని అరెస్టు చేసిన సైబరాబాద్ పోలీసులు
ఆ వ్యాఖ్యలు చేసిన కమలహాసన్ నాలుక కత్తిరించాలన్న తమిళ మంత్రి!,ఆ వ్యాఖ్యలు చేసిన కమలహాసన్ నాలుక కత్తిరించాలన్న తమిళ మంత్రి!
అలాంటివి గుట్టుగా చేసుకుంటూ పోయే వ్యక్తి ఆయన,అలాంటివి గుట్టుగా చేసుకుంటూ పోయే వ్యక్తి ఆయన
డే వేడుకలు జరుపుకోవడం కవిత్వం యొక్క ప్రయోజనం,డే వేడుకలు జరుపుకోవడం కవిత్వం యొక్క ప్రయోజనం
గచ్చిబౌలి ఫ్లైఓవర్ ని పరిశీలించిన నారాయణ,గచ్చిబౌలి ఫ్లైఓవర్ ని పరిశీలించిన నారాయణ
మరోసారి చిరుతో కలిసి మీరు పనిచేయాలి,మరోసారి చిరుతో కలిసి మీరు పనిచేయాలి
గతంలో పలు క్లినికల్ ట్రయల్స్ నిర్వహించిన నిమ్స్,గతంలో పలు క్లినికల్ ట్రయల్స్ నిర్వహించిన నిమ్స్
వెంటిలేటర్లపై ఇతర రాష్ట్రాల నుంచి కూడా ఫిర్యాదులు,వెంటిలేటర్లపై ఇతర రాష్ట్రాల నుంచి కూడా ఫిర్యాదులు
ఆ ఇద్దరూ వరల్డ్ కప్ వరకు టీమిండియాతో ఉండాలి: వీవీఎస్ లక్ష్మణ్,ఆ ఇద్దరూ వరల్డ్ కప్ వరకు టీమిండియాతో ఉండాలి: వీవీఎస్ లక్ష్మణ్
మిషన్ను మార్చినట్లయితే ఏమి చేయాలో పేరు మార్చాలి,మిషన్ను మార్చినట్లయితే ఏమి చేయాలో పేరు మార్చాలి
"తాత: ఆ ఏనుగులా నువ్వు కూడా ఒకే చోటులో, నానమ్మ వాళ్ళు వచ్చేవరకు నిల్చోవాలి?","తాత: ఆ ఏనుగులా నువ్వు కూడా ఒకే చోటులో, నానమ్మ వాళ్ళు వచ్చేవరకు నిల్చోవాలి?"
"ఐటీ రంగాన్ని బెంబేలెత్తిస్తున్న విప్రో,ఇన్ఫోసిస్ లేఖలు","ఐటీ రంగాన్ని బెంబేలెత్తిస్తున్న విప్రో,ఇన్ఫోసిస్ లేఖలు"
సిట్టింగ్ ఎమ్మెల్యే బొండా ఉమ పరాజయం,సిట్టింగ్ ఎమ్మెల్యే బొండా ఉమ పరాజయం
“కృష్ణా” జిల్లా “వైకాపా అభ్యర్ధుల” లిస్టు ఇదే,“కృష్ణా” జిల్లా “వైకాపా అభ్యర్ధుల” లిస్టు ఇదే
జగన్ ను సైలెంట్ చేసిన అనంతపురం స్కాం,జగన్ ను సైలెంట్ చేసిన అనంతపురం స్కాం
పురాణాలు: కళా ప్రక్రియ యొక్క నిర్వచనం,పురాణాలు: కళా ప్రక్రియ యొక్క నిర్వచనం
"మాకు గద్దెనెక్కించడం తెలుసు,  దించేయడమూ తెలుసు","మాకు గద్దెనెక్కించడం తెలుసు,  దించేయడమూ తెలుసు"
డెమి రోజ్ సెగలు పుట్టించే అందాలు,డెమి రోజ్ సెగలు పుట్టించే అందాలు
ప్రత్యామ్నాయంగా ఇలా క్షత్రియుల ఏక్తా మిషన్ యాజిటేషన్,ప్రత్యామ్నాయంగా ఇలా క్షత్రియుల ఏక్తా మిషన్ యాజిటేషన్
ఎన్డీయేలో ఇవాళ ప్రతి ఒక్కరూ ఆనందంగా ఉన్నారు,ఎన్డీయేలో ఇవాళ ప్రతి ఒక్కరూ ఆనందంగా ఉన్నారు
పెర్ డీఎం రేట్లు మరియు పన్నులు,పెర్ డీఎం రేట్లు మరియు పన్నులు
అర్చకులను రోడ్డున పడేసిన కెసిఆర్: శ్రవణ్,అర్చకులను రోడ్డున పడేసిన కెసిఆర్: శ్రవణ్
కల్రాకు ప్లేయర్ ఆఫ్ ది మ్యాచ్,కల్రాకు ప్లేయర్ ఆఫ్ ది మ్యాచ్
ఇతర రాష్ట్రాల వారి పరిస్థితి మరీ దారుణం,ఇతర రాష్ట్రాల వారి పరిస్థితి మరీ దారుణం
కావాలని తప్పుడు ప్రచారం చేస్తున్నారని వ్యాఖ్య,కావాలని తప్పుడు ప్రచారం చేస్తున్నారని వ్యాఖ్య
ఉత్తరప్రదేశ్ ప్రభుత్వానికి ఊరటనిచ్చిన సుప్రీం కోర్టు,ఉత్తరప్రదేశ్ ప్రభుత్వానికి ఊరటనిచ్చిన సుప్రీం కోర్టు
ముస్లిం యువతితో స్నేహం చేసిన పనివాడు,ముస్లిం యువతితో స్నేహం చేసిన పనివాడు
"లక్కీ కలర్స్ : రెడ్, డార్క్ బ్లూ, ఎల్లో, గ్రీన్, క్రీమ్","లక్కీ కలర్స్ : రెడ్, డార్క్ బ్లూ, ఎల్లో, గ్రీన్, క్రీమ్"
అరవై యేండ్లకు నువ్వు మళ్ళొచ్చే తలికి,అరవై యేండ్లకు నువ్వు మళ్ళొచ్చే తలికి
"ప్పొంగుచు బూలతావులు గుబుల్కోనువేళ, ప్రియాననమ్ము హృ","ప్పొంగుచు బూలతావులు గుబుల్కోనువేళ, ప్రియాననమ్ము హృ"
ఆస్తుల కేసులో జయకు ఊరట లభించాలని పార్టీ నేత పూజలు,ఆస్తుల కేసులో జయకు ఊరట లభించాలని పార్టీ నేత పూజలు
ఫోటో స్టోరి: కింగ్ వయసు ఇన్నాళ్టికి తెలిసింది,ఫోటో స్టోరి: కింగ్ వయసు ఇన్నాళ్టికి తెలిసింది
గూగుల్ క్యాంపస్ లో రాజమౌళి సందడి,గూగుల్ క్యాంపస్ లో రాజమౌళి సందడి
జగన్ మోహన్ రెడ్డి కళ్లలో నాకు తడి కనిపించింది!: మోహన్ బాబు,జగన్ మోహన్ రెడ్డి కళ్లలో నాకు తడి కనిపించింది!: మోహన్ బాబు
స్కామ్ నిందితుడు కల్మాడీకి ఐఒఎ జీవితకాల అధ్యక్ష పదవి,స్కామ్ నిందితుడు కల్మాడీకి ఐఒఎ జీవితకాల అధ్యక్ష పదవి
"ఈ ఫోన్ల మధ్యనే పోటీ, గెలుపు రేసులో మిగిలేది కొన్నే !","ఈ ఫోన్ల మధ్యనే పోటీ, గెలుపు రేసులో మిగిలేది కొన్నే !"
తరవాత కథనంమహేష్ కత్తిపై దారుణమైన జోకులు,తరవాత కథనంమహేష్ కత్తిపై దారుణమైన జోకులు
జగన్ కు కేసీఆర్ షాక్: పోతిరెడ్డిపాడుపై సుప్రీంకోర్టుకు తెలంగాణ,జగన్ కు కేసీఆర్ షాక్: పోతిరెడ్డిపాడుపై సుప్రీంకోర్టుకు తెలంగాణ
ముంబైలో తొంబై దాటిన పెట్రోలు ధర,ముంబైలో తొంబై దాటిన పెట్రోలు ధర
బిగ్ బికి ప్రియాంక సేఫ్ హ్యాండ్స్ చాలెంజ్,బిగ్ బికి ప్రియాంక సేఫ్ హ్యాండ్స్ చాలెంజ్
"విద్యార్థులు నా వద్దకు వచ్చి సమస్య చెప్పారు, లేఖ రాశా: విహెచ్","విద్యార్థులు నా వద్దకు వచ్చి సమస్య చెప్పారు, లేఖ రాశా: విహెచ్"
పాలనా వికేంద్రీకరణలో ఏపీ ప్రభుత్వం తొలి అడుగు,పాలనా వికేంద్రీకరణలో ఏపీ ప్రభుత్వం తొలి అడుగు
నితీశ్ కి సీఎం పదవి దక్కేనా?,నితీశ్ కి సీఎం పదవి దక్కేనా?
మళ్లీ సమగ్ర నివేదికను పంపాలని ఆదేశం,మళ్లీ సమగ్ర నివేదికను పంపాలని ఆదేశం
నిద్రగా ధరించిన నేత్రశాఖల మీది స్వపాల్ని,నిద్రగా ధరించిన నేత్రశాఖల మీది స్వపాల్ని
అమైలేజ్ మాల్టింగ్ మిక్సుతయారు చేసే విధానం,అమైలేజ్ మాల్టింగ్ మిక్సుతయారు చేసే విధానం
"తేమ మరియు షాక్ నుండి నమ్మకమైన రక్షణ, కానీ కూడా ఉప్పు గాలి నుండి మాత్రమే;","తేమ మరియు షాక్ నుండి నమ్మకమైన రక్షణ, కానీ కూడా ఉప్పు గాలి నుండి మాత్రమే;"
నీరుకుళ్ళలో భూ వినియోగం కింది విధంగా ఉంది:,నీరుకుళ్ళలో భూ వినియోగం కింది విధంగా ఉంది:
సుజాత ఫస్ట్ - నారాయణ లాస్ట్,సుజాత ఫస్ట్ - నారాయణ లాస్ట్
చైనా అధ్యక్షుడికి బహుమతులు: మోడీకి కితాబు,చైనా అధ్యక్షుడికి బహుమతులు: మోడీకి కితాబు
ఒక బెర్తు కోసం నాలుగు జట్ల మధ్య పోటీ,ఒక బెర్తు కోసం నాలుగు జట్ల మధ్య పోటీ
క్షుణ్ణంగా తనిఖీలు చేసిన భద్రతా సిబ్బంది,క్షుణ్ణంగా తనిఖీలు చేసిన భద్రతా సిబ్బంది
దేశంలో పెరుగుతున్న కరోనా రికవరీ రేట్,దేశంలో పెరుగుతున్న కరోనా రికవరీ రేట్
ఓటీటీ రిలీజ్: నిర్మాతలపై విమర్శలు గుప్పించిన ఐనాక్స్,ఓటీటీ రిలీజ్: నిర్మాతలపై విమర్శలు గుప్పించిన ఐనాక్స్
ఫ్లిప్కార్ట్  ఈరోజు  గాడ్జెట్స్ అండ్   కొన్ని నాన్  గాడ్జెట్స్  పై  భారీ డిస్కౌంట్ ని ఇస్తుంది,ఫ్లిప్కార్ట్  ఈరోజు  గాడ్జెట్స్ అండ్   కొన్ని నాన్  గాడ్జెట్స్  పై  భారీ డిస్కౌంట్ ని ఇస్తుంది
శాట్ అధికారులపై ఉచ్చు బిగిస్తున్న ఏసీబీ,శాట్ అధికారులపై ఉచ్చు బిగిస్తున్న ఏసీబీ
"-కె తారకరామారావు, మున్సిపల్ అండ్ పట్టణాభివృద్ధిశాఖ మంత్రి","-కె తారకరామారావు, మున్సిపల్ అండ్ పట్టణాభివృద్ధిశాఖ మంత్రి"
జెట్ ఫ్యూయల్ ధరలు తగ్గడానికి కారణం:,జెట్ ఫ్యూయల్ ధరలు తగ్గడానికి కారణం:
"హన్సిక పై త్రిష, నయనతారల మండిపాటు?","హన్సిక పై త్రిష, నయనతారల మండిపాటు?"
"అన్నను ఏదైనా చేస్తారని యువతి సూసైడ్, తప్పొప్పుకున్న పోలీసులు","అన్నను ఏదైనా చేస్తారని యువతి సూసైడ్, తప్పొప్పుకున్న పోలీసులు"
ఆసీస్ గడ్డపై వన్డేల్లో అత్యధిక సెంచరీలు చేసింది వీళ్లే:,ఆసీస్ గడ్డపై వన్డేల్లో అత్యధిక సెంచరీలు చేసింది వీళ్లే:
రాజధానిలో రైతుల భూములు వెనక్కి ఇచ్చేస్తాం,రాజధానిలో రైతుల భూములు వెనక్కి ఇచ్చేస్తాం
నా కయి నీ చెయి చాచిన,నా కయి నీ చెయి చాచిన
సుత్తి: కత్తన్నా! చారిత్రాత్మక చిత్రం అంటే ఏమిటి?,సుత్తి: కత్తన్నా! చారిత్రాత్మక చిత్రం అంటే ఏమిటి?
ఆటలు వాళ్ళ జన్మహక్కు కాబట్టి ఆటలు!,ఆటలు వాళ్ళ జన్మహక్కు కాబట్టి ఆటలు!
